Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
SP500,HANGSENG,Indices,Indices,0.2591,1,0.0739,Intra,True,0.21913994952589327,True,1.0,False,0.0,0.4266989823340626,2,Modérée
ZINC,USDCAD,Commodites,FX_G10,0.2209,1,0.1432,Inter,True,0.21622393584123095,True,1.0,False,0.0,0.42567837754443083,2,Modérée
DAX,AUDUSD,Indices,FX_G10,0.2325,1,0.118,Inter,True,0.2132710330654203,True,1.0,False,0.0,0.42464486157289705,2,Modérée
EUROSTOXX50,EURGBP,Indices,FX_G10,0.2117,1,0.1539,Inter,True,0.20998939182968634,True,1.0,False,0.0,0.4234962871403902,2,Modérée
SP500,EURGBP,Indices,FX_G10,0.1922,1,0.1886,Inter,True,0.20787683377390112,True,1.0,False,0.0,0.4227568918208654,2,Modérée
RUSSELL2000,EURGBP,Indices,FX_G10,0.1918,1,0.1893,Inter,True,0.20782260581004225,True,1.0,False,0.0,0.42273791203351474,2,Modérée
BRENT_CRUDE,AUDUSD,Commodites,FX_G10,0.2015,1,0.1676,Inter,True,0.20477374569617768,True,1.0,False,0.0,0.42167081099366216,2,Modérée
CAC40,AUDUSD,Indices,FX_G10,0.2273,1,0.1186,Inter,True,0.20471568857901035,True,1.0,False,0.0,0.4216504910026536,2,Modérée
FTSE100,AUDUSD,Indices,FX_G10,0.2289,1,0.1148,Inter,True,0.20400902620429928,True,1.0,False,0.0,0.4214031591715047,2,Modérée
NASDAQ100,HANGSENG,Indices,Indices,0.2489,1,0.0764,Intra,True,0.20358027201474443,True,1.0,False,0.0,0.4212530952051605,2,Modérée
DAX,EURGBP,Indices,FX_G10,0.211,1,0.1461,Inter,True,0.20155923546586166,True,1.0,False,0.0,0.42054573241305154,2,Modérée
DOWJONES,EURGBP,Indices,FX_G10,0.1887,1,0.1872,Inter,True,0.20045244300828408,True,1.0,False,0.0,0.4201583550528994,2,Modérée
EUROSTOXX50,GBPUSD,Indices,FX_G10,0.2006,1,0.1596,Inter,True,0.195808509523843,True,1.0,False,0.0,0.418532978333345,2,Modérée
DOWJONES,HANGSENG,Indices,Indices,0.2465,1,0.0689,Intra,True,0.19244908573887784,True,1.0,False,0.0,0.4173571800086072,2,Modérée
LEAD,AUDUSD,Commodites,FX_G10,0.2242,1,0.103,Inter,True,0.18487727367027515,True,1.0,False,0.0,0.4147070457845963,2,Modérée
DOWJONES,USDJPY,Indices,FX_G10,0.1859,1,0.1741,Inter,True,0.18344851111863605,True,1.0,False,0.0,0.4142069788915226,2,Modérée
WTI_CRUDE,GBPJPY,Commodites,FX_G10,0.1873,1,0.1702,Inter,True,0.18229912635842965,True,1.0,False,0.0,0.41380469422545035,2,Modérée
COPPER,USDNOK,Commodites,FX_G10,0.2055,1,0.1355,Inter,True,0.18213431215809045,True,1.0,False,0.0,0.41374700925533164,2,Modérée
COPPER,EURUSD,Commodites,FX_G10,0.2037,1,0.1385,Inter,True,0.18175175018620363,True,1.0,False,0.0,0.41361311256517125,2,Modérée
ZINC,NZDUSD,Commodites,FX_G10,0.2197,1,0.1065,Inter,True,0.18022657181997226,True,1.0,False,0.0,0.41307930013699024,2,Modérée
EUROSTOXX50,USDSEK,Indices,FX_G10,0.1857,1,0.1702,Inter,True,0.1794962066585842,True,1.0,False,0.0,0.41282367233050443,2,Modérée
WTI_CRUDE,AUDUSD,Commodites,FX_G10,0.1862,1,0.1685,Inter,True,0.17880204287353696,True,1.0,False,0.0,0.4125807150057379,2,Modérée
CAC40,EURGBP,Indices,FX_G10,0.2004,1,0.1397,Inter,True,0.17707901738144805,True,1.0,False,0.0,0.4119776560835068,2,Modérée
CAC40,GBPUSD,Indices,FX_G10,0.1906,1,0.1502,Inter,True,0.16960866363643207,True,1.0,False,0.0,0.40936303227275117,2,Modérée
PLATINUM,USDJPY,Commodites,FX_G10,0.1825,1,0.1586,Inter,True,0.16317690618919445,True,1.0,False,0.0,0.40711191716621803,2,Modérée
TY_US10Y,USDSEK,Bonds,FX_G10,0.1799,1,0.1611,Inter,True,0.16093109725231164,True,1.0,False,0.0,0.40632588403830905,2,Modérée
CAC40,USDSEK,Indices,FX_G10,0.1784,1,0.1625,Inter,True,0.15959636395591154,True,1.0,False,0.0,0.405858727384569,2,Modérée
SP500,USDJPY,Indices,FX_G10,0.1755,1,0.1654,Inter,True,0.15719443726736626,True,1.0,False,0.0,0.4050180530435782,2,Modérée
ZINC,USDSEK,Commodites,FX_G10,0.196,1,0.1251,Inter,True,0.15588680444673486,True,1.0,False,0.0,0.4045603815563572,2,Modérée
RX_BUND,AUDJPY,Bonds,FX_G10,0.1849,1,0.1418,Inter,True,0.15186523867250243,True,1.0,False,0.0,0.40315283353537584,2,Modérée
DAX,GBPUSD,Indices,FX_G10,0.1891,1,0.1338,Inter,True,0.1518343090434252,True,1.0,False,0.0,0.4031420081651988,2,Modérée
NASDAQ100,EURGBP,Indices,FX_G10,0.1695,1,0.1621,Inter,True,0.14363569343346244,True,1.0,False,0.0,0.40027249270171184,2,Modérée
LEAD,USDCAD,Commodites,FX_G10,0.1898,1,0.1072,Inter,True,0.1284935118902122,True,1.0,False,0.0,0.3949727291615742,2,Modérée
VIX,USDSEK,Indices,FX_G10,0.1636,1,0.1558,Inter,True,0.12748140939035957,True,1.0,False,0.0,0.3946184932866258,2,Modérée
DAX,USDSEK,Indices,FX_G10,0.1694,1,0.1442,Inter,True,0.12692853223260067,True,1.0,False,0.0,0.3944249862814102,2,Modérée
VIX,GBPUSD,Indices,FX_G10,0.1625,1,0.1544,Inter,True,0.12426139817451079,True,1.0,False,0.0,0.39349148936107875,2,Modérée
OAT_FRANCE,GBPJPY,Bonds,FX_G10,0.1656,1,0.148,Inter,True,0.12378118002002414,True,1.0,False,0.0,0.3933234130070084,2,Modérée
FTSE100,USDSEK,Indices,FX_G10,0.1639,1,0.1494,Inter,True,0.12209608176114332,True,1.0,False,0.0,0.39273362861640015,2,Modérée
G_GILT,AUDJPY,Bonds,FX_G10,0.163,1,0.1511,Inter,True,0.12208951562122924,True,1.0,False,0.0,0.3927313304674302,2,Modérée
GOLD,USDNOK,Commodites,FX_G10,0.1653,1,0.1375,Inter,True,0.11355810315976546,True,1.0,False,0.0,0.3897453361059179,2,Modérée
FTSE100,GBPJPY,Indices,FX_G10,0.1762,1,0.1136,Inter,True,0.11057956951446277,True,1.0,False,0.0,0.38870284933006194,2,Modérée
COPPER,GBPJPY,Commodites,FX_G10,0.1644,1,0.1278,Inter,True,0.10302279079618182,True,1.0,False,0.0,0.3860579767786636,2,Modérée
EUROSTOXX50,NZDUSD,Indices,FX_G10,0.1804,1,0.0968,Inter,True,0.10242118666009689,True,1.0,False,0.0,0.3858474153310339,2,Modérée
VIX,USDNOK,Indices,FX_G10,0.1516,1,0.1478,Inter,True,0.09907091780034684,True,1.0,False,0.0,0.38467482123012137,2,Modérée
CAC40,EURJPY,Indices,FX_G10,0.1727,1,0.0991,Inter,True,0.09105635633392728,True,1.0,False,0.0,0.3818697247168745,2,Modérée
EUROSTOXX50,EURJPY,Indices,FX_G10,0.174,1,0.0953,Inter,True,0.08982414651549524,True,1.0,False,0.0,0.3814384512804233,2,Modérée
PLATINUM,AUDJPY,Commodites,FX_G10,0.1729,1,0.0969,Inter,True,0.08937485799008582,True,1.0,False,0.0,0.38128120029653,2,Modérée
FTSE100,EURJPY,Indices,FX_G10,0.1649,1,0.1101,Inter,True,0.08755143932879145,True,1.0,False,0.0,0.380643003765077,2,Modérée
DAX,NZDUSD,Indices,FX_G10,0.1744,1,0.0854,Inter,True,0.08138149156200683,True,1.0,False,0.0,0.3784835220467024,2,Modérée
PLATINUM,USDNOK,Commodites,FX_G10,0.1657,1,0.1009,Inter,True,0.08045601626136686,True,1.0,False,0.0,0.3781596056914784,2,Modérée
