Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
WTI_CRUDE,EURGBP,Commodites,FX_G10,Inter,-0.0021,-0.0232,0.226,-0.6356,0.6611,1.2967,-0.0217,0.1273,-0.4255,0.3217,0.7472,-0.0225,0.0965,-0.2886,0.2306,0.5191,0.0021,Stable,Stable,0.004942339373970346,0.8715308863025962,0.3515777581454207
EURJPY,PLATINUM,FX_G10,Commodites,Inter,0.0117,-0.0084,0.2253,-0.6199,0.6631,1.283,0.004,0.1349,-0.4274,0.3731,0.8006,0.0048,0.0982,-0.2338,0.2089,0.4427,0.0117,Stable,Stable,0.027535890797834785,0.8375111906893464,0.35152601075443946
EURCHF,CAC40,FX_G10,Indices,Inter,0.0436,0.0484,0.245,-0.6299,0.845,1.4748,0.0726,0.1601,-0.3611,0.5754,0.9365,0.0913,0.1198,-0.2894,0.4504,0.7398,0.0436,Moderate,Moderate,0.10261237938338433,0.7247090420769919,0.35145104446082737
EURCHF,PLATINUM,FX_G10,Commodites,Inter,0.0113,0.002,0.2336,-0.7553,0.725,1.4803,0.0072,0.1347,-0.3302,0.4027,0.7328,0.0129,0.0868,-0.2397,0.1959,0.4355,0.0113,Stable,Stable,0.02659449282184043,0.8384064458370636,0.35131927402792973
GBPJPY,FTSE100,FX_G10,Indices,Inter,0.0626,0.0001,0.2511,-0.6561,0.7559,1.412,0.0211,0.1753,-0.412,0.5578,0.9698,0.0408,0.1327,-0.3237,0.3963,0.72,0.0626,Moderate,Unstable,0.14732878324311605,0.6566696508504923,0.35106513028606656
SILVER,USDSEK,Commodites,FX_G10,Inter,-0.0324,-0.0246,0.2391,-0.693,0.6438,1.3368,-0.033,0.1518,-0.3748,0.3798,0.7546,-0.0329,0.1126,-0.2782,0.2837,0.562,0.0324,Moderate,Moderate,0.07625323605554248,0.7618621307072516,0.3504967939162261
G_GILT,PLATINUM,Bonds,Commodites,Inter,0.0623,0.0561,0.2625,-0.6897,0.7187,1.4084,0.0587,0.1754,-0.4508,0.5331,0.9839,0.063,0.1409,-0.3294,0.3809,0.7103,0.0623,Moderate,Unstable,0.14662273476112025,0.6562220232766338,0.3504624501673257
GBPUSD,NASDAQ100,FX_G10,Indices,Inter,0.0043,-0.0012,0.228,-0.6764,0.6447,1.3211,0.0143,0.1298,-0.4169,0.3926,0.8095,0.0148,0.0959,-0.2812,0.2316,0.5128,0.0043,Stable,Stable,0.010120028241939279,0.8603401969561325,0.3502080957276166
OAT_FRANCE,USDSEK,Bonds,FX_G10,Inter,-0.0371,-0.0349,0.2508,-0.7504,0.7025,1.4529,-0.0314,0.1558,-0.4548,0.432,0.8868,-0.0342,0.1167,-0.3064,0.2663,0.5728,0.0371,Moderate,Moderate,0.08731466227347612,0.7439570277529096,0.34997160846524955
USDCAD,DOWJONES,FX_G10,Indices,Inter,-0.019,-0.02,0.2415,-0.6513,0.6593,1.3105,-0.0335,0.1419,-0.364,0.3919,0.7559,-0.0355,0.0996,-0.2853,0.1852,0.4705,0.019,Stable,Moderate,0.0447164038597317,0.806177260519248,0.3493007465235382
OAT_FRANCE,NASDAQ100,Bonds,Indices,Inter,0.0585,0.0368,0.2786,-0.7189,0.869,1.5879,0.0427,0.1732,-0.5558,0.4912,1.047,0.0408,0.1215,-0.3841,0.3794,0.7635,0.0585,Moderate,Unstable,0.13767945398917394,0.666069829901522,0.3490356043541132
RX_BUND,AUDUSD,Bonds,FX_G10,Inter,0.0194,-0.0167,0.2292,-0.6631,0.7019,1.365,-0.0051,0.1428,-0.3846,0.4828,0.8674,0.0044,0.1138,-0.2208,0.3731,0.594,0.0194,Stable,Moderate,0.045657801835726056,0.802148612354521,0.348254126043244
USDJPY,NASDAQ100,FX_G10,Indices,Inter,-0.0141,-0.006,0.2313,-0.6842,0.6235,1.3076,0.0013,0.1387,-0.3644,0.3643,0.7287,0.0033,0.1078,-0.2961,0.2797,0.5758,0.0141,Stable,Stable,0.03318427865380089,0.8205013428827216,0.3481111043453692
WTI_CRUDE,NZDUSD,Commodites,FX_G10,Inter,-0.0015,0.0075,0.2305,-0.6502,0.6283,1.2785,0.0114,0.129,-0.4496,0.3725,0.8221,0.0101,0.0983,-0.2949,0.2666,0.5616,0.0015,Stable,Stable,0.0035302424099788185,0.8639212175470008,0.34768663246478765
BRENT_CRUDE,GBPUSD,Commodites,FX_G10,Inter,-0.0003,0.0014,0.2315,-0.764,0.6433,1.4072,0.006,0.1281,-0.4113,0.3641,0.7754,0.0069,0.0924,-0.2901,0.2237,0.5139,0.0003,Stable,Stable,0.0007060484819957636,0.8679498657117278,0.34760357537388864
USDNOK,DOWJONES,FX_G10,Indices,Inter,-0.0118,-0.0303,0.235,-0.7928,0.5933,1.3861,-0.0358,0.1375,-0.4567,0.3006,0.7573,-0.0358,0.0906,-0.2694,0.198,0.4674,0.0118,Stable,Stable,0.027771240291833373,0.8258728737690241,0.3470118936827096
SILVER,DAX,Commodites,Indices,Inter,0.1356,0.0897,0.3097,-0.7787,0.7818,1.5605,0.0939,0.2352,-0.5431,0.561,1.1042,0.1,0.1961,-0.3361,0.5205,0.8566,0.1356,Moderate,Unstable,0.3191339138620852,0.3885407341092212,0.3468966419609396
