Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
COPPER,HANGSENG,Commodites,Indices,Inter,1,0.0,56.8468,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,ASX200,Commodites,Indices,Inter,1,0.0,77.8317,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,USDSEK,Commodites,FX_G10,Inter,1,0.0,223.0029,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,USDNOK,Commodites,FX_G10,Inter,5,0.0,47.4012,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,USDCHF,Commodites,FX_G10,Inter,1,0.0,57.5391,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,USDCAD,Commodites,FX_G10,Inter,1,0.0,297.1678,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,NZDUSD,Commodites,FX_G10,Inter,2,0.0,153.8235,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,GBPUSD,Commodites,FX_G10,Inter,2,0.0,92.209,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,GBPJPY,Commodites,FX_G10,Inter,1,0.0,78.1775,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,EURUSD,Commodites,FX_G10,Inter,2,0.0,65.1227,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,EURJPY,Commodites,FX_G10,Inter,2,0.0,28.6749,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,AUDUSD,Commodites,FX_G10,Inter,2,0.0,238.9185,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
COPPER,AUDJPY,Commodites,FX_G10,Inter,2,0.0,134.348,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
GOLD,USDSEK,Commodites,FX_G10,Inter,1,0.0,259.1535,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
