sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
1.5,1.5,2.5,7,1768,-0.00254619,0.5113,-0.063389
1.25,3.0,1.5,5,2540,-0.00244138,0.4524,-0.063415
1.75,3.0,2.5,10,1092,-0.00315279,0.4432,-0.06369
1.75,1.5,2.0,20,1242,-0.00273693,0.5072,-0.063781
1.75,1.5,2.5,10,1212,-0.00277868,0.5124,-0.063907
1.5,1.5,2.0,15,1782,-0.00265775,0.5101,-0.063975
2.5,2.0,1.5,15,428,-0.00274967,0.4322,-0.064335
1.75,1.5,1.5,20,1293,-0.00261673,0.4679,-0.0646
1.5,3.0,1.0,5,1874,-0.00238322,0.4077,-0.064619
1.25,2.0,1.0,5,2792,-0.00223652,0.4345,-0.064786
2.5,2.0,2.0,7,419,-0.00274823,0.463,-0.065249
2.0,3.0,2.0,15,783,-0.00331967,0.4176,-0.06534
1.75,1.5,1.0,7,1339,-0.00234045,0.4279,-0.065358
1.75,2.0,2.5,20,1124,-0.00320837,0.4822,-0.065644
2.0,1.5,2.5,10,849,-0.00287895,0.5206,-0.065681
2.5,2.0,2.5,5,419,-0.00272577,0.4726,-0.065863
1.5,1.5,2.5,5,1826,-0.00249115,0.4907,-0.065873
1.75,3.0,1.0,15,1199,-0.00290439,0.3328,-0.066253
1.75,2.5,2.5,15,1095,-0.00335691,0.4493,-0.06628
2.0,1.5,1.5,20,898,-0.00269004,0.4699,-0.066676
1.5,1.5,2.0,7,1829,-0.00259705,0.5041,-0.066787
2.5,2.0,1.0,5,432,-0.00249878,0.419,-0.067014
1.25,3.0,2.0,5,2453,-0.00262926,0.4615,-0.067346
1.5,2.0,1.0,10,1889,-0.00257318,0.3933,-0.067741
1.5,2.5,2.5,15,1546,-0.003361,0.4489,-0.067979
2.5,1.5,1.5,5,436,-0.0025489,0.4656,-0.067998
1.5,2.0,1.0,20,1877,-0.00262582,0.3847,-0.068148
1.5,3.0,2.5,5,1718,-0.00276285,0.4598,-0.068331
1.75,1.5,2.0,15,1245,-0.00291186,0.5036,-0.068406
1.75,1.5,2.0,10,1254,-0.002856,0.496,-0.068863
2.5,1.5,1.5,7,436,-0.00262809,0.4725,-0.068873
1.5,2.5,2.5,10,1594,-0.0032298,0.4567,-0.069109
1.75,1.5,1.5,15,1295,-0.00279248,0.4656,-0.069293
1.5,2.0,1.0,7,1911,-0.00256216,0.4092,-0.069454
1.75,1.5,1.0,5,1349,-0.00244516,0.4322,-0.069483
2.0,1.5,2.0,15,868,-0.00292702,0.5104,-0.069516
1.5,2.0,1.0,15,1877,-0.00266748,0.3857,-0.069608
1.25,2.0,1.5,5,2646,-0.00254717,0.4633,-0.069657
1.25,2.5,1.5,5,2579,-0.00262656,0.4556,-0.069969
1.75,1.5,1.5,10,1298,-0.00277346,0.463,-0.070004
2.0,1.5,2.0,10,874,-0.00289154,0.5,-0.070573
1.5,3.0,1.5,5,1814,-0.00277902,0.4421,-0.070878
1.25,2.0,2.0,5,2552,-0.00266575,0.4726,-0.071254
1.5,2.5,2.5,7,1655,-0.00312549,0.4677,-0.071538
1.5,2.5,1.5,7,1773,-0.00293906,0.4382,-0.071746
2.0,3.0,1.0,20,839,-0.0032078,0.3266,-0.071952
2.5,3.0,2.0,5,417,-0.00296915,0.4604,-0.072218
2.5,2.5,1.5,7,425,-0.00304482,0.4235,-0.072465
1.5,1.5,2.0,5,1874,-0.00269446,0.4888,-0.072477
2.5,3.0,1.5,7,421,-0.00309779,0.4157,-0.072727
2.0,3.0,2.5,10,783,-0.00368043,0.4457,-0.072848
2.0,1.5,1.5,15,898,-0.00292898,0.4699,-0.073368
1.75,3.0,2.0,10,1124,-0.00351635,0.4262,-0.073448
2.0,3.0,1.0,15,842,-0.00322199,0.3302,-0.073632
1.75,3.0,1.0,10,1214,-0.00311929,0.3501,-0.073931
1.25,2.5,2.0,5,2489,-0.00283289,0.464,-0.074021
2.0,2.5,2.0,20,800,-0.0036855,0.4263,-0.07501
1.5,2.0,2.5,20,1599,-0.00353806,0.4778,-0.075317
2.0,1.5,1.0,7,917,-0.00266739,0.4308,-0.07533
2.0,2.0,2.5,20,797,-0.00375677,0.4843,-0.075623
2.5,2.0,1.5,10,428,-0.00316094,0.4369,-0.075875
2.0,1.5,1.5,10,900,-0.00298336,0.4678,-0.075925
1.5,3.0,2.0,5,1755,-0.00303531,0.457,-0.076111
1.75,1.5,1.5,7,1308,-0.00294795,0.4671,-0.077126
2.0,1.5,2.0,7,883,-0.00305498,0.5006,-0.077196
1.5,2.5,1.5,20,1700,-0.00347083,0.4024,-0.077243
2.5,3.0,1.5,5,424,-0.00314689,0.4316,-0.077415
1.5,2.5,1.0,5,1906,-0.0027977,0.4119,-0.077579
2.5,2.0,2.0,10,417,-0.00335778,0.4652,-0.077627
1.75,2.0,2.5,15,1132,-0.00372004,0.4761,-0.077875
2.0,2.0,2.5,15,803,-0.00377543,0.4857,-0.078145
1.5,2.5,2.0,20,1604,-0.00372377,0.4389,-0.078304
1.75,1.5,2.5,7,1236,-0.00324019,0.5065,-0.078438
1.75,2.5,1.0,20,1233,-0.00333859,0.3398,-0.078459
1.75,1.5,2.5,5,1261,-0.00308219,0.4845,-0.078489
1.75,1.5,1.5,5,1321,-0.00294256,0.464,-0.078763
2.0,1.5,2.5,7,861,-0.00326165,0.5215,-0.078769
1.5,2.0,2.5,15,1611,-0.00365493,0.4767,-0.078944
1.75,2.5,1.0,15,1235,-0.00335039,0.3417,-0.079201
1.75,1.5,2.0,7,1272,-0.00317697,0.4929,-0.079439
1.5,2.5,1.5,10,1734,-0.00343458,0.4129,-0.079562
2.0,2.5,1.0,20,859,-0.00334765,0.3388,-0.079597
2.0,2.5,1.0,15,862,-0.00334368,0.3387,-0.07988
2.5,2.5,2.0,5,422,-0.00329521,0.4573,-0.080215
1.5,2.0,1.0,5,1947,-0.00284978,0.4181,-0.080433
1.5,2.0,1.5,7,1826,-0.00317832,0.4502,-0.080604
